Dataset,Ratio,Experiment,Alpha,Beta,Gamma,Lambda,Delta
Cora,0.1,LAGC,100,1.00E-05,0.01,0.0001,1
Cora,0.05,LAGC,100,1.00E-05,0.0001,1,1
Cora,0.3,LAGC,100,1.00E-05,0.1,1.00E-05,0.001
Citeseer,0.1,LAGC,1,1.00E-05,0.0001,0.001,0.01
Citeseer,0.3,LAGC,1,1.00E-05,0.0001,0.001,0.01
Citeseer,0.05,LAGC,1,1.00E-05,0.0001,0.001,0.01
Physics,0.05,LAGC,100,0.001,10,0.01,0.1
Physics,0.01,LAGC,100,0.001,10,0.01,0.1
Physics,0.03,LAGC,100,0.001,0.01,0.01,0.1
Pubmed,0.05,LAGC,1.00E-05,0.01,100,100,1.00E-05
Pubmed,0.01,LAGC,10,0.001,0.01,0.001,1.00E-05
Pubmed,0.03,LAGC,10,0.01,1.00E-05,0.0001,1.00E-05
CS,0.05,LAGC,100,0.1,0.1,0.001,0.1
CS,0.01,LAGC,100,0.01,0.1,0.01,0.01
CS,0.03,LAGC,100,0.001,0.001,0.1,0.1
DBLP,0.05,LAGC,100,0.01,1,0.1,1
DBLP,0.01,LAGC,100,0.001,0.01,1,0.01
DBLP,0.03,LAGC,100,0.01,0.1,0.01,0.1
